DIRECTION,STUDY_DATE,VOLUME
E,01/04/2023 10:45:00 AM,561
W,01/04/2023 11:00:00 AM,445
E,01/04/2023 11:00:00 AM,451
W,01/04/2023 11:15:00 AM,486
E,01/04/2023 11:15:00 AM,545
W,01/04/2023 11:30:00 AM,548
E,01/04/2023 11:30:00 AM,559
W,01/04/2023 11:45:00 AM,498
E,01/04/2023 11:45:00 AM,551
W,01/04/2023 12:00:00 PM,542
E,01/04/2023 12:00:00 PM,505
W,01/04/2023 12:15:00 PM,533
E,01/04/2023 12:15:00 PM,550
W,01/04/2023 12:30:00 PM,555
E,01/04/2023 12:30:00 PM,630
W,01/04/2023 12:45:00 PM,521
E,01/04/2023 12:45:00 PM,590
W,01/04/2023 01:00:00 PM,581
E,01/04/2023 01:00:00 PM,580
W,01/04/2023 01:15:00 PM,596
E,01/04/2023 01:15:00 PM,558
W,01/04/2023 01:30:00 PM,598
E,01/04/2023 01:30:00 PM,579
W,01/04/2023 01:45:00 PM,596
E,01/04/2023 01:45:00 PM,567
W,01/04/2023 02:00:00 PM,618
E,01/04/2023 02:00:00 PM,529
W,01/04/2023 02:15:00 PM,628
E,01/04/2023 02:15:00 PM,525
W,01/04/2023 02:30:00 PM,648
E,01/04/2023 02:30:00 PM,602
